(6, [0, 0, 0])
(6, [0, 0, 1])
(6, [0, 0, 2])
(6, [0, 0, 4])
(6, [0, 0, 5])
(6, [0, 0, 6])
(6, [0, 0, 7])
(6, [0, 0, 8])
(6, [0, 0, 10])
(6, [0, 0, 11])
(6, [0, 0, 12])
(6, [0, 0, 13])
(12, [0, 0, 14])
(6, [0, 1, 2])
(6, [0, 1, 3])
(6, [0, 1, 4])
(6, [0, 1, 6])
(6, [0, 1, 8])
(6, [0, 1, 9])
(6, [0, 1, 10])
(6, [0, 1, 11])
(6, [0, 1, 12])
(6, [0, 1, 13])
(6, [0, 1, 14])
(6, [0, 1, 16])
(12, [0, 1, 18])
(6, [0, 2, 0])
(6, [0, 2, 2])
(6, [0, 2, 4])
(6, [0, 2, 5])
(6, [0, 2, 6])
(6, [0, 2, 7])
(6, [0, 2, 9])
(6, [0, 2, 10])
(6, [0, 2, 12])
(10, [0, 2, 13])
(8, [0, 4, 0])
(6, [0, 4, 5])
(6, [0, 4, 6])
(6, [0, 4, 8])
(6, [0, 4, 9])
(6, [0, 4, 10])
(6, [0, 4, 11])
(6, [0, 4, 12])
(6, [0, 4, 13])
(8, [0, 4, 15])
(12, [0, 4, 17])
(6, [0, 5, 3])
(6, [0, 5, 10])
(6, [0, 5, 13])
(6, [0, 5, 14])
(12, [0, 5, 17])
(6, [0, 6, 1])
(6, [0, 6, 12])
(12, [0, 6, 16])
(6, [0, 7, 5])
(6, [0, 7, 13])
(14, [0, 7, 17])
(14, [0, 9, 1])
(14, [0, 9, 12])
(4, [1, 0, 0])
(4, [1, 0, 1])
(6, [1, 0, 2])
(8, [1, 0, 5])
(6, [1, 0, 7])
(8, [1, 0, 8])
(6, [1, 0, 11])
(4, [1, 0, 12])
(8, [1, 0, 13])
(4, [1, 0, 14])
(10, [1, 0, 16])
(6, [1, 2, 3])
(4, [1, 2, 5])
(6, [1, 2, 9])
(6, [1, 2, 10])
(6, [1, 2, 11])
(6, [1, 2, 12])
(6, [1, 2, 13])
(6, [1, 2, 14])
(6, [1, 2, 15])
(6, [1, 2, 16])
(10, [1, 2, 18])
(8, [1, 2, 20])
(6, [1, 5, 2])
(6, [1, 5, 10])
(6, [1, 5, 11])
(6, [1, 5, 13])
(6, [1, 5, 14])
(8, [1, 5, 16])
(10, [1, 5, 18])
(6, [1, 6, 1])
(4, [1, 6, 2])
(6, [1, 6, 5])
(8, [1, 6, 7])
(2, [1, 6, 10])
(6, [1, 6, 14])
(10, [1, 6, 16])
(6, [1, 7, 1])
(6, [1, 7, 16])
(10, [1, 7, 18])
(4, [1, 8, 1])
(4, [1, 8, 12])
(6, [1, 8, 15])
(16, [1, 10, 1])
(8, [1, 10, 15])
(6, [2, 1, 2])
(6, [2, 1, 7])
(6, [2, 1, 10])
(6, [2, 1, 12])
(6, [2, 1, 13])
(10, [2, 1, 16])
(6, [2, 6, 12])
(10, [2, 6, 18])
(8, [2, 9, 0])
