(120, [0, 0, 0, 0])
(240, [0, 0, 0, 1])
(240, [0, 0, 0, 2])
(240, [0, 0, 0, 4])
(240, [0, 0, 0, 6])
(240, [0, 0, 0, 7])
(240, [0, 0, 0, 8])
(240, [0, 0, 0, 9])
(240, [0, 0, 1, 2])
(240, [0, 0, 1, 3])
(240, [0, 0, 1, 4])
(240, [0, 0, 1, 8])
(240, [0, 0, 1, 9])
(240, [0, 0, 1, 10])
(120, [0, 0, 1, 12])
(240, [0, 0, 1, 15])
(240, [0, 0, 1, 16])
(240, [0, 0, 1, 17])
(240, [0, 0, 1, 18])
(240, [0, 0, 1, 19])
(240, [0, 0, 1, 20])
(240, [0, 0, 1, 23])
(240, [0, 0, 2, 0])
(120, [0, 0, 2, 2])
(240, [0, 0, 2, 4])
(120, [0, 0, 2, 6])
(240, [0, 0, 2, 7])
(240, [0, 0, 2, 8])
(120, [0, 0, 2, 10])
(240, [0, 0, 2, 18])
(240, [0, 0, 4, 5])
(240, [0, 0, 4, 6])
(240, [0, 0, 4, 8])
(240, [0, 0, 4, 14])
(120, [0, 0, 4, 18])
(240, [0, 0, 4, 19])
(240, [0, 0, 4, 21])
(120, [0, 0, 5, 1])
(240, [0, 0, 5, 2])
(240, [0, 0, 5, 5])
(240, [0, 0, 5, 23])
(240, [0, 0, 6, 8])
(240, [0, 0, 6, 16])
(120, [0, 0, 6, 21])
(240, [0, 1, 2, 3])
(240, [0, 1, 2, 4])
(240, [0, 1, 2, 14])
(240, [0, 1, 2, 15])
(240, [0, 1, 2, 16])
(240, [0, 1, 2, 17])
(240, [0, 1, 2, 19])
(240, [0, 1, 2, 20])
(240, [0, 1, 2, 21])
(240, [0, 1, 2, 22])
(240, [0, 1, 2, 25])
(240, [0, 1, 2, 26])
(240, [0, 1, 2, 28])
(240, [0, 1, 3, 0])
(240, [0, 1, 3, 1])
(240, [0, 1, 3, 2])
(240, [0, 1, 3, 4])
(120, [0, 1, 3, 7])
(240, [0, 1, 3, 8])
(240, [0, 1, 3, 10])
(240, [0, 1, 3, 13])
(240, [0, 1, 3, 14])
(240, [0, 1, 3, 15])
(240, [0, 1, 3, 16])
(240, [0, 1, 10, 1])
(240, [0, 1, 10, 2])
(240, [0, 1, 10, 4])
(240, [0, 1, 10, 8])
(240, [0, 1, 10, 9])
(240, [0, 1, 10, 11])
(240, [0, 1, 10, 12])
(240, [0, 1, 10, 14])
(240, [0, 1, 11, 1])
(240, [0, 1, 11, 19])
(240, [0, 1, 13, 6])
(240, [0, 1, 16, 4])
(240, [0, 1, 16, 5])
(240, [0, 1, 16, 7])
(240, [0, 1, 16, 10])
(120, [0, 1, 16, 13])
(240, [0, 2, 0, 5])
(240, [0, 2, 2, 1])
(48, [1, 2, 3, 4])
(240, [1, 2, 3, 14])
(240, [1, 2, 3, 15])
(120, [1, 2, 3, 16])
(120, [1, 2, 3, 26])
(240, [1, 2, 9, 3])
(120, [1, 2, 9, 16])
(240, [1, 2, 9, 17])
(240, [1, 2, 9, 19])
(240, [1, 2, 9, 20])
(120, [1, 2, 9, 23])
(120, [1, 5, 2, 3])
(24, [1, 5, 2, 21])
