(5040, [0, 0, 0, 0, 0, 0])
(10080, [0, 0, 0, 0, 0, 1])
(10080, [0, 0, 0, 0, 0, 2])
(10080, [0, 0, 0, 0, 0, 4])
(10080, [0, 0, 0, 0, 0, 5])
(10080, [0, 0, 0, 0, 0, 6])
(10080, [0, 0, 0, 0, 0, 7])
(10080, [0, 0, 0, 0, 0, 9])
(10080, [0, 0, 0, 0, 0, 10])
(10080, [0, 0, 0, 0, 0, 12])
(10080, [0, 0, 0, 0, 0, 13])
(10080, [0, 0, 0, 0, 0, 14])
(10080, [0, 0, 0, 0, 0, 15])
(10080, [0, 0, 0, 0, 1, 2])
(10080, [0, 0, 0, 0, 1, 3])
(10080, [0, 0, 0, 0, 1, 4])
(10080, [0, 0, 0, 0, 1, 6])
(10080, [0, 0, 0, 0, 1, 8])
(10080, [0, 0, 0, 0, 1, 9])
(10080, [0, 0, 0, 0, 1, 10])
(10080, [0, 0, 0, 0, 1, 11])
(10080, [0, 0, 0, 0, 1, 12])
(10080, [0, 0, 0, 0, 1, 13])
(10080, [0, 0, 0, 0, 1, 14])
(10080, [0, 0, 0, 0, 1, 15])
(10080, [0, 0, 0, 0, 1, 16])
(5040, [0, 0, 0, 0, 1, 18])
(10080, [0, 0, 0, 0, 1, 21])
(10080, [0, 0, 0, 0, 1, 23])
(10080, [0, 0, 0, 0, 1, 25])
(10080, [0, 0, 0, 0, 1, 27])
(10080, [0, 0, 0, 0, 1, 28])
(10080, [0, 0, 0, 0, 1, 29])
(10080, [0, 0, 0, 0, 1, 30])
(10080, [0, 0, 0, 0, 1, 31])
(10080, [0, 0, 0, 0, 1, 32])
(10080, [0, 0, 0, 0, 1, 33])
(10080, [0, 0, 0, 0, 1, 35])
(10080, [0, 0, 0, 0, 2, 0])
(10080, [0, 0, 0, 0, 2, 2])
(10080, [0, 0, 0, 0, 2, 4])
(10080, [0, 0, 0, 0, 2, 5])
(10080, [0, 0, 0, 0, 2, 6])
(10080, [0, 0, 0, 0, 2, 7])
(10080, [0, 0, 0, 0, 2, 8])
(10080, [0, 0, 0, 0, 2, 9])
(10080, [0, 0, 0, 0, 2, 10])
(10080, [0, 0, 0, 0, 2, 11])
(10080, [0, 0, 0, 0, 2, 13])
(10080, [0, 0, 0, 0, 2, 14])
(5040, [0, 0, 0, 0, 2, 15])
(10080, [0, 0, 0, 0, 2, 16])
(10080, [0, 0, 0, 0, 2, 17])
(10080, [0, 0, 0, 0, 2, 18])
(10080, [0, 0, 0, 0, 2, 19])
(10080, [0, 0, 0, 0, 2, 24])
(10080, [0, 0, 0, 0, 2, 26])
(10080, [0, 0, 0, 0, 2, 28])
(10080, [0, 0, 0, 0, 2, 30])
(10080, [0, 0, 0, 0, 2, 31])
(10080, [0, 0, 0, 0, 2, 33])
(10080, [0, 0, 0, 0, 4, 0])
(10080, [0, 0, 0, 0, 4, 5])
(10080, [0, 0, 0, 0, 4, 6])
(10080, [0, 0, 0, 0, 4, 7])
(10080, [0, 0, 0, 0, 4, 8])
(10080, [0, 0, 0, 0, 4, 9])
(10080, [0, 0, 0, 0, 4, 11])
(10080, [0, 0, 0, 0, 4, 13])
(10080, [0, 0, 0, 0, 4, 14])
(10080, [0, 0, 0, 0, 4, 15])
(10080, [0, 0, 0, 0, 4, 16])
(5040, [0, 0, 0, 0, 4, 21])
(10080, [0, 0, 0, 0, 4, 23])
(10080, [0, 0, 0, 0, 4, 25])
(10080, [0, 0, 0, 0, 4, 27])
(10080, [0, 0, 0, 0, 4, 28])
(10080, [0, 0, 0, 0, 4, 30])
(10080, [0, 0, 0, 0, 4, 31])
(10080, [0, 0, 0, 0, 4, 32])
(10080, [0, 0, 0, 0, 4, 34])
(10080, [0, 0, 0, 0, 5, 0])
(10080, [0, 0, 0, 0, 5, 1])
(10080, [0, 0, 0, 0, 5, 2])
(5040, [0, 0, 0, 0, 5, 5])
(10080, [0, 0, 0, 0, 5, 7])
(5040, [0, 0, 0, 0, 5, 9])
(10080, [0, 0, 0, 0, 5, 10])
(10080, [0, 0, 0, 0, 5, 11])
(5040, [0, 0, 0, 0, 5, 13])
(10080, [0, 0, 0, 0, 5, 26])
(10080, [0, 0, 0, 0, 5, 28])
(10080, [0, 0, 0, 0, 6, 8])
(10080, [0, 0, 0, 0, 6, 9])
(10080, [0, 0, 0, 0, 6, 11])
(10080, [0, 0, 0, 0, 6, 13])
